20251218_184444,0.85,../detections/20251218_184444.jpg
20251218_184449,0.85,../detections/20251218_184449.jpg
20251218_184452,0.85,../detections/20251218_184452.jpg
20251219_113021,MICROPLASTIC_PRESENT,0.85,../detections/20251219_113021.jpg
20251219_113135,MICROPLASTIC_PRESENT,0.85,../detections/20251219_113135.jpg
20251219_113238,MICROPLASTICS_PRESENT,215748,../detections/20251219_113238.jpg
20251219_113239,MICROPLASTICS_PRESENT,215463,../detections/20251219_113239.jpg
20251219_113240,MICROPLASTICS_PRESENT,208775,../detections/20251219_113240.jpg
20251219_113241,MICROPLASTICS_PRESENT,205352,../detections/20251219_113241.jpg
20251219_113241,MICROPLASTICS_PRESENT,201352,../detections/20251219_113241.jpg
20251219_113242,MICROPLASTICS_PRESENT,198797,../detections/20251219_113242.jpg
20251219_113243,MICROPLASTICS_PRESENT,192660,../detections/20251219_113243.jpg
20251219_113243,MICROPLASTICS_PRESENT,191268,../detections/20251219_113243.jpg
20251219_113244,MICROPLASTICS_PRESENT,191110,../detections/20251219_113244.jpg
20251219_113244,MICROPLASTICS_PRESENT,189654,../detections/20251219_113244.jpg
20251219_113245,MICROPLASTICS_PRESENT,189169,../detections/20251219_113245.jpg
20251219_113246,MICROPLASTICS_PRESENT,188199,../detections/20251219_113246.jpg
20251219_113246,MICROPLASTICS_PRESENT,185663,../detections/20251219_113246.jpg
20251219_113248,MICROPLASTICS_PRESENT,185399,../detections/20251219_113248.jpg
20251219_113248,MICROPLASTICS_PRESENT,183388,../detections/20251219_113248.jpg
20251219_113249,MICROPLASTICS_PRESENT,181570,../detections/20251219_113249.jpg
20251219_113249,MICROPLASTICS_PRESENT,180766,../detections/20251219_113249.jpg
20251219_113250,MICROPLASTICS_PRESENT,178606,../detections/20251219_113250.jpg
20251219_113251,MICROPLASTICS_PRESENT,179772,../detections/20251219_113251.jpg
20251219_113251,MICROPLASTICS_PRESENT,176635,../detections/20251219_113251.jpg
20251219_113252,MICROPLASTICS_PRESENT,175225,../detections/20251219_113252.jpg
20251219_113252,MICROPLASTICS_PRESENT,179737,../detections/20251219_113252.jpg
20251219_113253,MICROPLASTICS_PRESENT,178883,../detections/20251219_113253.jpg
20251219_113322,MICROPLASTICS_PRESENT,215748,../detections/20251219_113322.jpg
20251219_113323,MICROPLASTICS_PRESENT,215463,../detections/20251219_113323.jpg
20251219_113323,MICROPLASTICS_PRESENT,208775,../detections/20251219_113323.jpg
20251219_113324,MICROPLASTICS_PRESENT,205352,../detections/20251219_113324.jpg
20251219_113324,MICROPLASTICS_PRESENT,201352,../detections/20251219_113324.jpg
20251219_113325,MICROPLASTICS_PRESENT,198797,../detections/20251219_113325.jpg
20251219_113325,MICROPLASTICS_PRESENT,192660,../detections/20251219_113325.jpg
20251219_113326,MICROPLASTICS_PRESENT,191268,../detections/20251219_113326.jpg
20251219_113326,MICROPLASTICS_PRESENT,191110,../detections/20251219_113326.jpg
20251219_113327,MICROPLASTICS_PRESENT,189654,../detections/20251219_113327.jpg
20251219_113327,MICROPLASTICS_PRESENT,189169,../detections/20251219_113327.jpg
20251219_113328,MICROPLASTICS_PRESENT,188199,../detections/20251219_113328.jpg
20251219_113328,MICROPLASTICS_PRESENT,185663,../detections/20251219_113328.jpg
20251219_113329,MICROPLASTICS_PRESENT,185399,../detections/20251219_113329.jpg
20251219_113329,MICROPLASTICS_PRESENT,183388,../detections/20251219_113329.jpg
20251219_113330,MICROPLASTICS_PRESENT,181570,../detections/20251219_113330.jpg
20251219_113330,MICROPLASTICS_PRESENT,180766,../detections/20251219_113330.jpg
20251219_113330,MICROPLASTICS_PRESENT,178606,../detections/20251219_113330.jpg
20251219_113331,MICROPLASTICS_PRESENT,179772,../detections/20251219_113331.jpg
20251219_113331,MICROPLASTICS_PRESENT,176635,../detections/20251219_113331.jpg
20251219_113332,MICROPLASTICS_PRESENT,175225,../detections/20251219_113332.jpg
20251219_113332,MICROPLASTICS_PRESENT,179737,../detections/20251219_113332.jpg
20251219_113332,MICROPLASTICS_PRESENT,178883,../detections/20251219_113332.jpg
